优先级,优先级建议,区域,企业名称,省市,城市,官网（本轮核实）,官网主营（反向验证）,验证结论与修正,联系电话,邮箱,详细地址,社媒（公众号 / 抖音 / 1688 / 其他）,触达路径（细化到联系方式）,行业细分,主营业务（名单口径）,适配案例,初筛分(企业侧/35),成功面,失败面·待核实,建议切入点,来源,信息可靠度,核实日期
B,B → C —— 集团 1200+ 人、六大厂区，超出甜点区；且主体在武义非永康,长三角,浙江金凯德安防科技有限公司,浙江,金华武义,https://www.kkdgroup.com（集团）· www.kkdgroup.com.cn（安防）,防盗门 / 木门 / 防火门 / 别墅门 / 卫浴门 / 装甲门 / 木作整装 / 商用防火门 / 智能锁,✗→已修正：我们名单里把安防科技写在【永康】，工商/官网显示该主体在【武义】；且集团员工 1200+ 名、年产能 120 万套 → **超出甜点区**，优先级应从 B 降到 C（除非只谈武义单一厂区）,400-112-0007（集团）· 0579-89083098,sale@kkdgroup.com,武义基地：浙江省武义县百花山工业园区开发大道 90 号（集团另有永康、佛山基地）,集团官网 kkdgroup.com 设「视频中心」栏目 + 招商加盟在线报名（B 端入口）；公众号可微信搜「金凯德」,400-112-0007（集团）转安防事业部；0579-89083098；只谈武义单一厂区，别谈集团,门业,通轴入户门/铸铝门/防盗门/防火门；50余亩基地,案例B,23,中型规模、数控与无尘喷涂产线；工程订单为主,老板是否亲自经营需核实；永康价格战,一樘门的生产进度与齐套,集团官网 company 页 + 消防行业目录 · 核实日 2026-09-11,中,2026-09-11
B,B → A —— 官网：员工 120 人、7 个项目组、多材质车间，正中甜点,长三角,上海大兆展示,上海,上海,https://dz-display.com,展览展示道具一站式（快闪店 POP-UP / 品牌空间形象 / 橱窗与陈列道具）；自有木制·金属·亚克力·写真·灯箱·UV 印刷·玻璃钢车间,✓ 一致：官网自述员工 120 人、7 个项目组、多材质自有车间；**厂区面积官网两处数字不一致（12000㎡ vs 37000㎡）→ 需现场核实**；120 人正中 80–800 人甜点区 → 建议从 B 提到 A,13661893265（侯先生）· 13817589430（卢先生）,,上海市嘉定区兴庆路 958 号,微信（侯先生 13661893265 / 卢先生 13817589430，手机号即微信号）；官网无社媒入口,13661893265（侯先生）/ 13817589430（卢先生）；地址嘉定区兴庆路 958 号；先确认厂区是 12000 还是 37000㎡（官网两处数字不一致）,展示道具,展柜道具；12000㎡全工艺工厂（木/金属/亚克力）,案例B,22,自有全工艺工厂、多材质并行,信息来源为推广页；规模需核实,多材质工艺的排产与齐套,官网首页/关于我们 · 核实日 2026-09-11,低,2026-09-11
B,维持 B —— 无官网，电话 021-59556615 触达,长三角,上海永成展示股份有限公司,上海,上海,未找到独立官网（第三方黄页为主）,展示道具 / 模特 / 亚克力 / 衣架 / 收银台 / 中岛 / 接待台 / 陈列架 / 雕塑；商业空间设计 + 陈列规划 + 道具研发制造 + 终端工程安装 + 物流售后,△ 部分：业务描述与我们记录一致（项目制非标 + 安装交付）；但无官网、规模未公示 → 触达靠电话，可靠度维持『中』,021-59556615 · 传真 021-59556342,,上海市嘉定区新建一路 2305 号（徐行经济城一带）,无官网亦无社媒入口 → 线上替代：021-59556615 电话直连（传真 021-59556342）,021-59556615（传真 021-59556342）；无官网，先电话确认现名与厂址（嘉定区新建一路 2305 号）,展示道具,高端展柜/博物馆陈列道具,案例B,22,25年资质、项目制非标、精度要求高,规模需核实；项目制特征同上,项目级齐套与进度可见,上海家居网库企业页 + 品牌网 · 核实日 2026-09-11,中,2026-09-11
B,新增·观察 —— 参编《中国医院建设指南》，行业资质硬；但工商地址为办公楼、生产在分支机构，规模偏小，先电话核实地与产能,长三角,南京布尔特医疗技术发展有限公司,江苏,南京,http://www.njbullteam.com,医用护理车辆与不锈钢医用制品（含消毒供应中心、手术室辅房布局设计）,✓ 部分一致：官网与行业榜单证实——2006 年创立，是《中国医院建设指南》《医用家具及病房护理设施》参编单位，服务上百家三甲医院；但工商登记地址为南京市玄武区领智路 56 号 2 幢 311 室（办公），生产加工在分支机构 → 厂房与产能待现场核实,025-85628067（公司）,njbullteam@126.com,南京市玄武区领智路 56 号 2 幢 311 室（南京办：中央路 258-27 号新立基大厦 10 楼 C 座）,官网无社媒入口（本轮未采到公众号/抖音）；B2B 黄页与医疗器械网为替代触点,打 025-85628067 直接问「不锈钢车间在哪、多少台设备、月产多少台护理车」；若确认自有车间再约半天走车间,医用护理设备·不锈钢制品,医用护理车辆、不锈钢医用制品、消毒供应中心工作流程设计,案例 B,22,参编行业标准（对外讲资质、对内讲台账）、上百家三甲医院项目、不锈钢多工序（钣金/焊接/表面处理）,规模小、可能外协为主；若生产靠代工则不具备落地条件,「投标台账 + 现场安装齐套」——三甲医院项目的资料要求最严，老板最怕临时补材料,官网 njbullteam.com · 企查猫工商信息 · maigoo 行业榜单 · 2026-09-12 核实,中（官网 + 工商公示；规模数据缺）,2026-09-12
B,维持 B —— 上市公司，放第二阶段,长三角,浙江华达新型材料股份有限公司（605158）,浙江,杭州富阳,http://www.hdnew.cn,多功能彩色涂层板、热镀锌板及其基板（0.17–1.2mm 冷轧/热镀（铝）锌/彩钢板/覆膜彩印板）,✓ 一致：上市公司（605158）、2003 年成立、出口连续多年居国内前列；规模超出 80–800 人甜点区 → 维持『第二阶段目标』定位,0571-58982959（行政/客服）· 0571-58982988（销售）· 传真 0571-58837981,hdnew@hdnew.cn,浙江省杭州市富阳区大源镇大桥南路 198 号,（待补）—— 上市公司：上交所/公司公告是权威信息源（比社媒可靠）；官网 hdnew.cn 可查投资者关系入口,销售 0571-58982988 / 行政 0571-58982959；hdnew@hdnew.cn；走投关/信息化双通道，节奏按月算,卷材加工,彩涂板/热镀锌铝板，出口40+国,案例A,22,上市公司、出口占比高、数据规范意识强,规模超出甜点区，宜作第二阶段目标,出口批次档案与合规资料,同花顺 F10 公司资料 + 官网 + Maigoo 企业页 · 核实日 2026-09-11,高,2026-09-11
B,B → C（建议移出）—— 检索不到官网与工商页，线索来自软文,长三角,浙江群邦门业股份有限公司,浙江,金华,未检索到官网（原线索来自评选软文）,,✗ 无法验证：检索不到官网与工商页 → **建议移出名单**，除非能拿到准确全称与统一社会信用代码,,,金华（待核实）,（建议移出，不再补）,暂缓 —— 线索来自评选软文，需拿到准确全称与信用代码,门业,防火门/防盗门；产能1200樘/日,案例B,22,防火门为主、工程渠道,信息来源为评选软文；产能与现金流需核实,防火门资质与批次追溯台账,检索无结果 · 核实日 2026-09-11,低,2026-09-11
B,B → A —— 官网：员工 500+、年产 30 万樘，规模比预估大得多,长三角,浙江香乡门业有限公司,浙江,衢州开化,http://www.zjxxmy.cn,甲/乙/丙级木质隔热防火门 · 钢木质防火隔热门 · 钢质隔热防火门 · 防火玻璃 · 钢质防盗门 · 实木门 · 保温门 · 隔声门 · 钢质防火窗 · 全屋定制,✓ 一致并**规模比预估大**：官网自述占地 52000㎡、建筑面积 35000㎡、**员工 500 余名**、年产 30 余万樘钢木质/钢质隔热防火门 + 25 万㎡木质隔热防火门、固定资产 9500 多万；工商：2006-09-30 成立、法人郭正全 → 仍在 80–800 人甜点区内，**建议从 B 档提到 A 档**,13587026958（郭经理）· 13757026027,,浙江省开化县工业园区音坑路 1 号,微信（郭经理 13587026958 微信同号）,13587026958（郭经理）；先问「防火门检测报告台账是谁在管」—— 招投标台账就是切入点,门业,甲乙丙级木质/钢木质/钢质隔热防火门,案例B,21,防火门细分、资质要求强,区域偏、规模需核实,防火门检测报告与批次档案,官网公司简介/产品页 + 品牌网工商页 · 核实日 2026-09-11,低,2026-09-11
C,维持 C —— 集团化（2.58 亿注册资本、14 家分支），第二阶段,长三角,海太欧林集团股份有限公司,江苏,南京,http://www.onlead.com.cn,智能办公 / 智慧医疗 / 教学科研 / 酒店公寓家具 + 商用空间整体解决方案,✓ 一致：品牌 1996 年创办、2012-07-25 注册、注册资本 2.58 亿、14 家分支机构、江苏省专精特新小巨人；项目含哈工大/萧山机场/香港科技大学 → 集团化、超出甜点区，维持 C（第二阶段）,400 电话（工商页掩码，官网查询）,,南京市高淳经济开发区双湖路 121 号,官网 onlead.com.cn 在线留言入口；400 电话以官网公示为准；集团化企业走「集团信息化」对口,官网 www.onlead.com.cn 在线留言 → 转集团信息化；400 电话以官网公示为准,家具制造,智能办公/智慧医疗/教学科研/酒店家具,案例B,21,多业务线、专利1200项、管理复杂度高,60万㎡基地、数千人规模，超出甜点区,（第二阶段）多基地协同与成本归集,企查猫工商页 + rcctop 企业页 + 江苏省家具协会 · 核实日 2026-09-11,中,2026-09-11
C,新增·观察 —— 4500㎡工厂 + 85 名搭建人员，规模偏小、以展会短周期项目为主；先作为行业信息源与转介绍渠道，不投入方案,长三角,上海玄策展览展示有限公司,上海,上海,https://www.xuanceo.com,展台搭建 / 活动执行 / 展厅装修 / 专柜橱窗道具（自营 4500㎡制作工厂 + 3600㎡预搭建场地 + 标准烤漆房）,△ 部分：官网自述与实际能力基本一致（85 名施工人员、4500㎡厂房、烤漆/美工车间），但工商与行业媒体口径提到「现有厂房 3500 平方」，且官网并列出现 4500/3500/3600 三个面积口径 → 厂房面积与自有产能待现场核实,400-888-7380,官网在线留言（未公示邮箱）,上海市（官网未公示完整厂址，需电话索取）,新浪微博（官网友情链接）+ 官网在线留言 + 网站地图,打 400-888-7380 问厂址与自有工序（烤漆/美工/木工是否自有）；展会公司现金流好但项目短，适合作「轻量试点」的行业样板,展示道具·展会特装,展台设计搭建、展厅装修、专柜橱窗道具,案例 B,19,项目制、短交期、多材质；展台行业普遍靠微信群排产，数字化空白大,规模偏小（可能 80 人以内）、单项目金额低、付费能力弱；厂房面积口径不一致,先用「报价与工序卡」轻量切入，别谈全流程 MES,官网 xuanceo.com · 行业媒体汇总 · 2026-09-12 核实,中（官网为主，面积口径存疑）,2026-09-12
S,维持 S —— 新三板挂牌 + 工程安装，治理与齐套双重压力,珠三角,广州市仪美医用家具科技股份有限公司,广东,广州,https://www.emeok.com（旧站 old.emeok.com）,医用/医养/医院办公家具 · 医用地柜 · 护士站工作站系统 · 医疗家具软装一体化（研发/生产/销售/工程安装）,✓ 一致，且官网明确写出『工程安装』『软装一体化整体解决方案』→ 项目制 + 安装齐套，正对案例 B 的场景,400-888-3193（服务热线）· 18124907690 / 18148917873（咨询）· 020-62172808（总机）,,广州市白云区民营科技园,微信 + 微博 + 抖音（官网底部三入口齐全，医疗家具里少见的全渠道）,400-888-3193 转工程/信息；18124907690 咨询线；同时盯 CHCC 医院建设大会与政采公告,医疗家具,医用家具研发生产+工程安装，医疗空间整体解决方案,案例B,29,新三板挂牌→治理与数据规范压力；工程安装+招投标→交期/齐套/变更留痕刚性；600+工程案例=强非标,决策链可能较长，需确认谁拍板；行业毛利被招标压缩，预算敏感；现有ERP接口需确认,一个医院项目的从下单到安装齐套全流程台账,官网首页/产品中心页脚 · 核实日 2026-09-11,高,2026-09-11
S,新增·优先接触 —— 注册 1.08 亿、员工 600+、10 万㎡、年产能 6 亿；与仪美、华燊同在广州，可一天连访三家（案例 B 主战场）,珠三角,广州博生医疗家具有限公司,广东,广州花都,https://www.gzyyjj.com,医院家具 / 养老家具 / 儿科家具，集胶板、五金、钣金、油漆、软体一体的综合制造商,✓ 一致并更强：官网 + 媒体报道证实——2001 年建立、注册资金 1.08 亿、员工 600+（媒体口径 800+）、占地 10 万㎡、年生产能力 6 亿元；官网设「中标公告」「投标资质」「图册下载」栏目，公开工程案例 300+（含克拉玛依市医学基地迁建中标 2579.9 万元）→ 典型的「投标驱动型」工厂，台账与资质是刚需,136 9425 5663（刘志军，销售）· 官网在线 8:00–21:00,526564294@qq.com,广州市花都区爱民路 8 号,微信公众号 + 微信咨询（官网双入口）,直接打销售手机（花都厂家习惯手机接单），开口问「中标的医院项目，从下单到现场安装，缺件与补件谁盯台账」；他们官网有中标公告栏目，谈话前先抄两条中标信息，可信度立刻不同,医疗家具·工程投标,医院家具（导诊台/护士站/诊室/病房）、养老家具、儿科家具,案例 B,27,投标驱动（资质/台账/留痕是刚需）、多材质车间（胶板/五金/钣金/油漆/软体五工序）、10 万㎡自有产能、与仪美华燊同城可连访,可能已上投标资料管理或 ERP；年产能 6 亿意味着订单量大、车间管理复杂度高，试点范围要收窄,「工程安装齐套 + 中标台账」：把一次项目缺件导致的现场返工账算给他看,官网 gzyyjj.com · 新浪家居报道 · 2026-09-12 核实,中高（官网 + 媒体报道；人数口径 600/800 两版）,2026-09-12
